VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A,os <A> baiano tem um jeito,alagoanos <A>,tem outros <A> | S,alagoanos,a-la-go-'a-no$,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,atona,final,adjetivo,adjetivo,lexical,sim,sim,nao,conversa,ALCP_2018MB-_ArthurG,2018,00:25:44.517,ArthurG
A,sei diferenciar | S os <A>,alagoanos <A>,| D1 (e va/) alguém,alagoanos,a-la-go-'a-no$,o,meia.fechada,posterior,menos.anterior,mais.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,sim,sim,nao,conversa,ALCP_2018MB-_ArthurG,2018,00:25:49.312,ArthurG
A,S amigo é assim do de,Alagoas <A>,pra cá não | S,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,p,dorsal.labial,surda,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:25:50.420,JefersonL
A,se você for | S pra,Alagoas <A>,você você acaba aprendendo |,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,v,dorsal.labial,sonora,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:25:50.420,JefersonL
A,"S ""sou nordestino <A> sou de","Alagoas"" <A>",| D1 eh mas |,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:25:54.913,JefersonL
A,| S {A.} é da de,Alagoas <A>,| S ela é lá,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2018,00:26:02.614,JefersonL
A,gente de Alagoas? | S de,Alagoas <A>,| S não | S,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2018,00:26:02.614,JefersonL
A,<E> passando no estado <A> de,Alagoas <A>,né que a gen/ eu,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,n,coronal,sonora,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2018,00:26:06.368,JefersonL
A,D1 União é aonde? | S,Alagoas <A>,| D1 em Alagoas mesmo,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FA+_AdrieleS,2017,00:26:11.595,AdrieleS
A,voltou lá? | S voltei pra,Alagoas <A>,| D1 você ficou quanto,Alagoas,a-la-'go-a$,a,aberta,central,menos.anterior,menos.posterior,#,#,#,atona,final,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2017FB-_JosileideS,2017,00:26:13.352,JosileideS
